intype,insubtype,surreason,outtype,animaltype,sex,bites,petsize,color,breed,mixed,breed2,days_in,in_season,out_season
STRAY,OTC,STRAY,RTO,DOG,N,N,MED,WHITE / BLACK,STAFFORDSHIRE,False,NM,2,SUMMER,SUMMER
STRAY,OTC,STRAY,ADOPTION,DOG,N,N,LARGE,BLACK,LABRADOR RETR,False,NM,10,SUMMER,SUMMER
STRAY,OTC,STRAY,RTO,DOG,N,N,MED,BROWN / WHITE,PIT BULL,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,DOG,S,N,MED,BROWN,PIT BULL,True,Unknown,49,FALL,FALL
CONFISCATE,POLICE,STRAY,TRANSFER,DOG,F,N,SMALL,WHITE / TAN,JACK RUSS TER,False,NM,9,FALL,FALL
STRAY,FIELD,STRAY,RTO,DOG,S,N,SMALL,BLACK / WHITE,BOSTON TERRIER,False,NM,2,FALL,FALL
STRAY,OTC,STRAY,ADOPTION,DOG,N,N,MED,BLACK,ROTTWEILER,True,Unknown,17,WINTER,WINTER
STRAY,FIELD,STRAY,RTO,DOG,S,N,SMALL,BLACK / GRAY,AUST SHEPHERD,False,NM,0,FALL,FALL
STRAY,OTC,STRAY,TRANSFER,DOG,F,N,MED,BLACK / WHITE,BOSTON TERRIER,True,LABRADOR RETR,7,SPRING,SPRING
STRAY,OTC,STRAY,RTO,DOG,F,N,PUPPY,BLACK,CHIHUAHUA SH,False,NM,3,WINTER,WINTER
STRAY,OTC,STRAY,ADOPTION,DOG,N,Y,LARGE,BLACK / WHITE,PIT BULL,False,NM,93,SPRING,SUMMER
